"ID Caso","ID Caso Relacionado","Año","Mes","Día","Código DANE de Municipio","Municipio","Departamento","Región","Modalidad","Presunto Responsable","Descripción Presunto Responsable","Abandono o Despojo Forzado de Tierras","Amenaza o Intimidación","Ataque Contra Misión Médica","Confinamiento o Restricción a la Movilidad","Desplazamiento Forzado","Extorsión","Lesionados Civiles","Pillaje","Tortura","Violencia Basada en Género","Otro Hecho Simultáneo","Total de Víctimas del Caso","Tipo de Armas","latitud-longitud"
"231,678",,"1,996","10","4","20770","SAN MARTIN","CESAR","MAGDALENA MEDIO","RETENCIÓN/EJECUCIÓN","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","0","0","0","0","0","0","0","1","0",,,"4","ARMA DE FUEGO","POINT (-73.510914 7.999855)"
"232,758",,"1,997","1","25","05490","NECOCLI","ANTIOQUIA","URABA","RETENCIÓN/EJECUCIÓN","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","0","1","0","1","0","0","0","0","8",,"OCULTAMIENTO DE CADÁVER","8","ND","POINT (-76.67699588 8.493728551)"
"237,259","CR2017237259","1,998","8","9","68081","BARRANCABERMEJA","SANTANDER","MAGDALENA MEDIO","RETENCIÓN/EJECUCIÓN","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","0","0","0","0","1","0","0","0","3",,,"4","ARMA DE FUEGO","POINT (-73.76431517 6.940800534)"
"238,207",,"1,998","10","25","05649","SAN CARLOS","ANTIOQUIA","ORIENTE ANTIOQUEÑO","INCURSIÓN","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","0","0","0","0","0","0","0","0","4",,,"13","ARMA CORTO PUNZANTE - ARMA DE FUEGO","POINT (-74.90732769 6.193789659)"
"238,244","CR2017238244","1,998","10","30","13670","SAN PABLO","BOLIVAR","MAGDALENA MEDIO","RETÉN","GRUPO PARAMILITAR","NO IDENTIFICADO","0","0","0","0","1","0","0","0","4",,"INTENTO DE OCULTAMIENTO DE CADÁVER","4","ARMA CORTO PUNZANTE - OTRO","POINT (-74.10356977 7.507922612)"
"252,594",,"2,001","7","25","68081","BARRANCABERMEJA","SANTANDER","MAGDALENA MEDIO","RETENCIÓN/EJECUCIÓN","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","0","0","0","0","0","0","0","0","5",,"INTENTO DE OCULTAMIENTO DE CADÁVER","5","ARMA CORTO PUNZANTE - ARMA DE FUEGO - OBJETO CONTUNDENTE","POINT (-73.849313 7.064855)"
"270,385",,"2,004","3","10","81220","CRAVO NORTE","ARAUCA","LLANOS ORIENTALES","INCURSIÓN","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","0","0","0","0","0","0","0","1","0",,,"12","ND","POINT (-70.204286 6.303913)"
"288,320",,"1,985","10","20","19743","SILVIA","CAUCA","NORTE DEL CAUCA","RETENCIÓN/EJECUCIÓN","GUERRILLA","QUINTÍN LAME","0","0","0","0","0","0","0","0","0",,,"6","ARMA DE FUEGO","POINT (-76.3247074 2.713628165)"
"288,321",,"1,988","12","30","19137","CALDONO","CAUCA","NORTE DEL CAUCA","RETENCIÓN/EJECUCIÓN","GUERRILLA","QUINTÍN LAME","0","0","0","0","0","0","0","0","0",,,"6","ND","POINT (-76.42719377 2.803845691)"
"288,322",,"1,996","4","11","19000","SIN INFORMACION","CAUCA",,"DESCONOCIDA","OTRO ¿CUÁL?","NO APLICA","0","0","0","0","0","0","0","0","4",,,"4","ND","POINT (-72 4)"
"288,323",,"1,996","8","15","68655","SABANA DE TORRES","SANTANDER","MAGDALENA MEDIO","DESCONOCIDA","GRUPO PARAMILITAR","NO IDENTIFICADO","0","0","0","0","0","0","0","0","0",,,"4","ND","POINT (-73.57131807 7.4065422)"
"288,325",,"0","0","0","20045","BECERRIL","CESAR","SERRANIA DEL PERIJA","RETENCIÓN/EJECUCIÓN","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","0","0","0","0","0","0","0","1","0",,,"4","ND","POINT (-73.21353005 9.624161528)"
"288,326",,"0","0","0","20045","BECERRIL","CESAR","SERRANIA DEL PERIJA","RETÉN","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","0","0","0","0","0","0","0","0","0",,,"5","ND","POINT (-73.25250522 9.727732939)"
"288,327","CR080175","0","0","0","19693","SAN SEBASTIAN","CAUCA","MACIZO COLOMBIANO","DESCONOCIDA","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","0","1","0","0","1","0","0","0","0",,,"5","ND","POINT (-76.71652424 1.856261815)"
"288,328",,"0","0","0","17380","LA DORADA","CALDAS","MAGDALENA MEDIO","DESCONOCIDA","GRUPO PARAMILITAR","AUTODEFENSAS CAMPESINAS DEL MAGDALENA MEDIO","0","0","0","0","0","0","0","0","0",,,"4","ARMA DE FUEGO","POINT (-74.72114262 5.410515691)"
"288,329",,"0","0","0","81001","ARAUCA","ARAUCA","LLANOS ORIENTALES","DESCONOCIDA","GUERRILLA","ELN","0","0","0","0","0","0","0","0","0",,,"4","ND","POINT (-70.50921153 6.796280825)"
"288,330",,"0","0","0","47001","SANTA MARTA","MAGDALENA","SIERRA NEVADA DE SANTA MARTA","RETENCIÓN/EJECUCIÓN","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","0","0","0","0","0","0","0","0","0",,,"10","ND","POINT (-73.88527855 11.12189436)"
"288,331",,"0","0","0","54810","TIBU","NORTE DE SANTANDER","CATATUMBO","DESCONOCIDA","GRUPO PARAMILITAR","AUTODEFENSAS UNIDAS DE COLOMBIA AUC","0","0","0","0","0","0","0","0","0",,,"5","ND","POINT (-72.79925855 8.713507237)"
"288,332",,"0","0","0","54810","TIBU","NORTE DE SANTANDER","CATATUMBO","ENGAÑO","GRUPO PARAMILITAR","NO IDENTIFICADO","0","0","0","0","0","0","0","0","0",,,"4","ND","POINT (-72.79925855 8.713507237)"
